Term,Abstract 1,Abstract 2,Abstract 3
sentiment,6,0,4
prediction,4,0,0
streamlit,4,0,0
model,4,2,6
grab,3,0,0
reviews,3,0,0
svm,2,0,0
linear,2,0,0
feature,2,0,0
visualization,2,0,0
user,2,0,0
evaluation,2,0,0
accuracy,2,2,0
classification,0,3,0
data,0,3,0
balancing,0,3,0
accuracy,0,2,0
techniques,0,2,0
performance,0,2,3
model,0,2,6
SMOTE,0,2,0
obesity,0,2,0
health,0,2,0
Linear,0,2,0
minority,0,2,0
study,0,2,0
model,0,0,6
sentiment,0,0,4
analysis,0,0,4
multi-domain,0,0,4
performance,0,0,3
CNN-LSTM,0,0,2
LSTM,0,0,2
CNN,0,0,2
domain,0,0,2
IKN,0,0,2
project,0,0,2
public,0,0,2
opinions,0,0,2
characteristics,0,0,2
